rank,college_name,early_careerr,mid_career
376 (tie),Eastern Illinois University,"$42,500.00","$77,500.00"
376 (tie),Southern Illinois University (SIU) - Carbondale Campus,"$44,600.00","$77,500.00"
380 (tie),"Loyola University - Chicago, IL","$45,600.00","$77,400.00"
380 (tie),Ohio University - Main Campus,"$45,800.00","$77,400.00"
382,University of Akron - Main Campus,"$46,600.00","$77,300.00"
383 (tie),Christian Brothers University,"$47,800.00","$77,200.00"
383 (tie),National University,"$50,900.00","$77,200.00"
383 (tie),North Carolina A&T State University,"$50,500.00","$77,200.00"
383 (tie),Texas Christian University (TCU),"$47,800.00","$77,200.00"
383 (tie),University of Alabama - Main Campus,"$45,200.00","$77,200.00"
383 (tie),Valparaiso University,"$46,300.00","$77,200.00"
389 (tie),Cleveland State University,"$45,200.00","$77,100.00"
389 (tie),University of Bridgeport (UB),"$41,600.00","$77,100.00"
389 (tie),Western Michigan University (WMU),"$45,700.00","$77,100.00"
392 (tie),Gannon University,"$42,900.00","$77,000.00"
392 (tie),"Northwood University - Midland, MI","$43,300.00","$77,000.00"
392 (tie),University of South Florida - Main Campus,"$45,000.00","$77,000.00"
395 (tie),The College of Wooster,"$38,600.00","$76,900.00"
395 (tie),University of Hawaii at Manoa,"$44,500.00","$76,900.00"
395 (tie),University of Oregon,"$44,100.00","$76,900.00"
398 (tie),"Assumption College - Worcester, MA","$51,200.00","$76,800.00"
398 (tie),Curry College,"$49,800.00","$76,800.00"
398 (tie),Oglethorpe University,"$41,300.00","$76,800.00"
398 (tie),Texas A&M University - Kingsville Campus,"$48,700.00","$76,800.00"
402 (tie),"Augustana College - Sioux Falls, SD","$41,500.00","$76,700.00"
402 (tie),Hawaii Pacific University,"$43,800.00","$76,700.00"
404 (tie),Rider University,"$46,100.00","$76,600.00"
404 (tie),University of Mary Washington,"$46,200.00","$76,600.00"
404 (tie),University of North Texas (UNT),"$45,900.00","$76,600.00"
407 (tie),Central Washington University (CWU),"$45,800.00","$76,500.00"
407 (tie),University of Toledo,"$49,200.00","$76,500.00"
409 (tie),Cabrini College,"$39,700.00","$76,400.00"
409 (tie),Niagara University,"$40,000.00","$76,400.00"
409 (tie),Northern Illinois University (NIU),"$48,600.00","$76,400.00"
409 (tie),Saint Francis University,"$44,300.00","$76,400.00"
413 (tie),City University of Seattle,"$45,100.00","$76,300.00"
413 (tie),Florida State University (FSU),"$43,100.00","$76,300.00"
413 (tie),Wilkes University,"$45,300.00","$76,300.00"
416 (tie),Illinois State University,"$43,700.00","$76,200.00"
416 (tie),University of Arkansas - Main Campus,"$48,600.00","$76,200.00"
416 (tie),University of Houston Downtown (UHD),"$47,000.00","$76,200.00"
419 (tie),Stevenson University,"$44,300.00","$76,100.00"
419 (tie),Thomas More College,"$38,800.00","$76,100.00"
419 (tie),"Westminster College - Salt Lake City, UT","$43,900.00","$76,100.00"
419 (tie),Woodbury University,"$45,200.00","$76,100.00"
423 (tie),Point Loma Nazarene University,"$44,400.00","$76,000.00"
423 (tie),University of Nevada - Las Vegas (UNLV),"$44,400.00","$76,000.00"
425 (tie),Drew University,"$47,000.00","$75,900.00"
425 (tie),Illinois Wesleyan University (IWU),"$49,500.00","$75,900.00"
425 (tie),Manhattanville College,"$46,500.00","$75,900.00"
428 (tie),Chapman University,"$47,200.00","$75,700.00"
428 (tie),Coe College,"$44,100.00","$75,700.00"
428 (tie),SUNY - College at Potsdam,"$35,600.00","$75,700.00"
428 (tie),South Carolina State University,"$37,500.00","$75,700.00"
428 (tie),University of North Carolina at Charlotte (UNCC),"$48,000.00","$75,700.00"
428 (tie),University of Wisconsin (UWEC) - Eau Claire,"$46,000.00","$75,700.00"
434 (tie),Eastern University,"$39,700.00","$75,600.00"
434 (tie),Misericordia University,"$43,000.00","$75,600.00"
434 (tie),South Dakota State University (SDSU),"$43,500.00","$75,600.00"
434 (tie),"Wayne State University - Detroit, MI","$46,500.00","$75,600.00"
438 (tie),Knox College,"$43,000.00","$75,500.00"
438 (tie),Texas Woman's University,"$44,100.00","$75,500.00"
438 (tie),University of Missouri - Kansas City (UMKC),"$45,800.00","$75,500.00"
441 (tie),Abilene Christian University,"$42,000.00","$75,400.00"
441 (tie),Azusa Pacific University,"$41,400.00","$75,400.00"
