Rank,CollegeTYpe,College Type,Early Career,Mid Career
,,,,
163 (tie),North Carolina State University (NCSU),"State School, Research University, For Sports Fans","$52,400.00","$88,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
166,George Washington University (GWU),"Private School, Research University, For Sports Fans","$49,500.00","$88,200.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
167 (tie),California State University - Stanislaus,State School,"$45,300.00","$88,100.00"
[object Object],State School,,,
,,,,
167 (tie),University of California - Riverside (UCR),"State School, Research University, For Sports Fans","$46,400.00","$88,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
169 (tie),Auburn University,"State School, Research University, For Sports Fans","$48,700.00","$88,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
169 (tie),Emory University,"Private School, Research University, Religious","$53,800.00","$88,000.00"
[object Object],"Private School, Research University, Religious",,,
,,,,
169 (tie),Louisiana Tech University,"State School, Research University, For Sports Fans","$46,900.00","$88,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
172 (tie),Pennsylvania State University (Penn State) - Main Campus,"State School, Research University, Party School, For Sports Fans","$54,300.00","$87,800.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
172 (tie),Tulane University,"Private School, Research University, Party School, For Sports Fans","$45,600.00","$87,800.00"
[object Object],"Private School, Research University, Party School, For Sports Fans",,,
,,,,
172 (tie),Ursinus College,"Private School, Liberal Arts School","$44,500.00","$87,800.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
175,New Mexico Institute of Mining and Technology (New Mexico Tech),"State School, Engineering School","$62,400.00","$87,700.00"
[object Object],"State School, Engineering School",,,
,,,,
176 (tie),CUNY - College of Staten Island,State School,"$45,300.00","$87,600.00"
[object Object],State School,,,
,,,,
176 (tie),Oregon State University (OSU) - Main Campus,"State School, Research University, For Sports Fans","$50,300.00","$87,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
176 (tie),Rutgers University - Camden Campus,"State School, For Sports Fans","$45,000.00","$87,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
176 (tie),Southern Polytechnic State University,State School,"$53,700.00","$87,600.00"
[object Object],State School,,,
,,,,
176 (tie),University of Rhode Island (URI),"State School, Research University, For Sports Fans","$48,900.00","$87,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
181 (tie),California College of the Arts,"Private School, Arts, Music & Design School","$48,600.00","$87,500.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
181 (tie),"Clark University - Worcester, MA","Private School, Research University","$42,800.00","$87,500.00"
[object Object],"Private School, Research University",,,
,,,,
181 (tie),Rhodes College,"Private School, Liberal Arts School, Religious","$44,200.00","$87,500.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
