Rank,CollegeTYpe,College Type,Early Career,Mid Career
[object Object],"Private School, Religious",,,
,,,,
829 (tie),University of Wisconsin (UW) - Green Bay Campus,"State School, For Sports Fans","$38,200.00","$62,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
835,SUNY - College at Brockport,State School,"$43,500.00","$62,100.00"
[object Object],State School,,,
,,,,
836 (tie),College of Charleston,"State School, Party School, For Sports Fans","$44,100.00","$62,000.00"
[object Object],"State School, Party School, For Sports Fans",,,
,,,,
836 (tie),"Concordia College - Moorhead, MN","Private School, Liberal Arts School, Religious","$40,400.00","$62,000.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
836 (tie),"Concordia University - Mequon, WI","Private School, Religious","$43,300.00","$62,000.00"
[object Object],"Private School, Religious",,,
,,,,
836 (tie),Morehead State University (Kentucky),"State School, For Sports Fans","$38,500.00","$62,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
836 (tie),Mount Holyoke College,"Private School, Liberal Arts School","$46,900.00","$62,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
841,University of Southern Mississippi (USM),"State School, Research University, For Sports Fans","$39,700.00","$61,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
842,West Liberty University,State School,"$38,800.00","$61,800.00"
[object Object],State School,,,
,,,,
843 (tie),Evangel University,"Private School, Religious","$35,800.00","$61,700.00"
[object Object],"Private School, Religious",,,
,,,,
843 (tie),Northeastern State University,State School,"$41,100.00","$61,700.00"
[object Object],State School,,,
,,,,
845 (tie),CUNY - Lehman College,State School,"$40,900.00","$61,600.00"
[object Object],State School,,,
,,,,
845 (tie),Northern Michigan University,State School,"$38,900.00","$61,600.00"
[object Object],State School,,,
,,,,
847 (tie),Mount Vernon Nazarene University (MVNU),"Private School, Religious","$37,700.00","$61,500.00"
[object Object],"Private School, Religious",,,
,,,,
847 (tie),University of Central Arkansas,"State School, For Sports Fans","$39,800.00","$61,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
849 (tie),Henderson State University,State School,"$39,900.00","$61,400.00"
[object Object],State School,,,
,,,,
849 (tie),Houghton College,"Private School, Liberal Arts School, Religious","$36,600.00","$61,400.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
849 (tie),"Marian University - Indianapolis, IN","Private School, Religious","$45,000.00","$61,400.00"
[object Object],"Private School, Religious",,,
,,,,
852 (tie),Columbus State University,State School,"$40,500.00","$61,200.00"
[object Object],State School,,,
,,,,
852 (tie),North Park University,"Private School, Religious","$38,900.00","$61,200.00"
[object Object],"Private School, Religious",,,
,,,,
852 (tie),Southeastern Louisiana University,"State School, For Sports Fans","$39,800.00","$61,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
855 (tie),Southeast Missouri State University,"State School, For Sports Fans","$37,700.00","$61,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
855 (tie),Tennessee State University,"State School, For Sports Fans","$43,600.00","$61,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
855 (tie),Western Carolina University,"State School, For Sports Fans","$39,200.00","$61,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
858 (tie),Nebraska Wesleyan University (NWU),"Private School, Liberal Arts School, Religious","$42,300.00","$61,000.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
858 (tie),Our Lady of the Lake University (OLLU),"Private School, Religious","$39,800.00","$61,000.00"
[object Object],"Private School, Religious",,,
,,,,
860,Chadron State College,State School,"$35,500.00","$60,800.00"
[object Object],State School,,,
,,,,
861 (tie),Buena Vista University,"Private School, Religious","$35,800.00","$60,700.00"
[object Object],"Private School, Religious",,,
,,,,
861 (tie),Wingate University,Private School,"$34,900.00","$60,700.00"
[object Object],Private School,,,
,,,,
863 (tie),Cardinal Stritch University,"Private School, Business School, Religious","$49,200.00","$60,500.00"
[object Object],"Private School, Business School, Religious",,,
,,,,
863 (tie),Marywood University,"Private School, Religious","$38,200.00","$60,500.00"
[object Object],"Private School, Religious",,,
,,,,
863 (tie),University of Arkansas - Pine Bluff Campus,"State School, For Sports Fans","$39,800.00","$60,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
863 (tie),University of North Alabama (UNA),State School,"$36,600.00","$60,500.00"
[object Object],State School,,,
,,,,
863 (tie),University of South Carolina - Aiken Campus,State School,"$37,600.00","$60,500.00"
[object Object],State School,,,
,,,,
863 (tie),University of Texas - Pan American (UTPA),"State School, For Sports Fans","$42,100.00","$60,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
869 (tie),Lindenwood University,Private School,"$41,000.00","$60,400.00"
[object Object],Private School,,,
,,,,
869 (tie),University of North Carolina at Greensboro (UNCG),"State School, Research University, For Sports Fans","$40,100.00","$60,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
871 (tie),Kutztown University of Pennsylvania,State School,"$38,400.00","$60,300.00"
[object Object],State School,,,
,,,,
871 (tie),Upper Iowa University,Private School,"$40,400.00","$60,300.00"
[object Object],Private School,,,
,,,,
873 (tie),Bridgewater College,"Private School, Liberal Arts School, Religious","$36,000.00","$60,000.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
873 (tie),Chicago State University (CSU),"State School, For Sports Fans","$39,400.00","$60,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
875 (tie),Barton College,"Private School, Religious","$37,000.00","$59,900.00"
[object Object],"Private School, Religious",,,
,,,,
875 (tie),Massachusetts College of Liberal Arts (MCLA),"State School, Liberal Arts School","$38,200.00","$59,900.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
877,Montana State University - Billings Campus,State School,"$39,900.00","$59,600.00"
[object Object],State School,,,
,,,,
878 (tie),Carson Newman College,"Private School, Religious","$45,500.00","$59,500.00"
[object Object],"Private School, Religious",,,
,,,,
878 (tie),Fairmont State University,State School,"$39,200.00","$59,500.00"
[object Object],State School,,,
,,,,
878 (tie),"Lakeland College - Plymouth, WI","Private School, Business School, Religious","$43,600.00","$59,500.00"
[object Object],"Private School, Business School, Religious",,,
,,,,
878 (tie),Siena Heights University,"Private School, Religious","$40,000.00","$59,500.00"
[object Object],"Private School, Religious",,,
,,,,
878 (tie),University of Michigan - Flint Campus,State School,"$42,900.00","$59,500.00"
[object Object],State School,,,
,,,,
883 (tie),Bemidji State University (BSU),State School,"$41,100.00","$59,400.00"
[object Object],State School,,,
,,,,
883 (tie),Guilford College,"Private School, Liberal Arts School, Religious","$36,500.00","$59,400.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
883 (tie),Wilmington University,Private School,"$40,300.00","$59,400.00"
[object Object],Private School,,,
,,,,
886,University of North Carolina at Asheville (UNCA),"State School, Liberal Arts School, For Sports Fans","$36,300.00","$59,300.00"
[object Object],"State School, Liberal Arts School, For Sports Fans",,,
,,,,
887 (tie),Hodges University,Private School,"$40,300.00","$59,200.00"
[object Object],Private School,,,
,,,,
887 (tie),Indiana University (IU) - South Bend,State School,"$36,700.00","$59,200.00"
[object Object],State School,,,
,,,,
887 (tie),Maryville University of Saint Louis,Private School,"$41,800.00","$59,200.00"
[object Object],Private School,,,
,,,,
890 (tie),Mississippi College,"Private School, Religious","$39,600.00","$59,100.00"
[object Object],"Private School, Religious",,,
,,,,
890 (tie),Winthrop University,"State School, For Sports Fans","$37,600.00","$59,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
892,Mansfield University of Pennsylvania,State School,"$39,800.00","$59,000.00"
[object Object],State School,,,
,,,,
893,Southeastern University,"Private School, Religious","$39,900.00","$58,900.00"
[object Object],"Private School, Religious",,,
,,,,
894,William Woods University,"Private School, Religious","$37,800.00","$58,800.00"
[object Object],"Private School, Religious",,,
,,,,
895 (tie),Bluffton University,"Private School, Religious","$37,400.00","$58,700.00"
[object Object],"Private School, Religious",,,
,,,,
895 (tie),Virginia State University (VSU),State School,"$39,100.00","$58,700.00"
[object Object],State School,,,
,,,,
897,"Seton Hill University - Greensburg, PA","Private School, Religious","$41,500.00","$58,500.00"
[object Object],"Private School, Religious",,,
,,,,
898 (tie),Maryland Institute College of Art,"Private School, Arts, Music & Design School","$40,700.00","$58,300.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
898 (tie),Savannah State University (SSU),"State School, Liberal Arts School, For Sports Fans","$37,300.00","$58,300.00"
[object Object],"State School, Liberal Arts School, For Sports Fans",,,
,,,,
900,University of North Carolina at Pembroke (UNCP),State School,"$37,000.00","$58,200.00"
[object Object],State School,,,
,,,,
901,The University of Tennessee at Martin (UT Martin),"State School, For Sports Fans","$40,100.00","$58,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
902,Meredith College,Private School,"$36,200.00","$58,000.00"
[object Object],Private School,,,
,,,,
903,Alabama State University (ASU),"State School, For Sports Fans","$34,800.00","$57,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
904,College of New Rochelle,Private School,"$39,500.00","$57,700.00"
[object Object],Private School,,,
,,,,
905,"Wilmington College - Wilmington, OH","Private School, Religious","$37,500.00","$57,600.00"
[object Object],"Private School, Religious",,,
,,,,
906,Southern Adventist University,"Private School, Religious","$43,600.00","$57,500.00"
[object Object],"Private School, Religious",,,
,,,,
907 (tie),Minot State University,State School,"$42,300.00","$57,400.00"
[object Object],State School,,,
,,,,
907 (tie),"Robert Morris University (RMU) - Chicago, IL","Private School, Business School","$42,000.00","$57,400.00"
[object Object],"Private School, Business School",,,
,,,,
909 (tie),Liberty University,"Private School, Religious, For Sports Fans","$39,400.00","$57,200.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
909 (tie),Lourdes College,"Private School, Religious","$41,600.00","$57,200.00"
[object Object],"Private School, Religious",,,
,,,,
911 (tie),Fayetteville State University,State School,"$33,200.00","$57,100.00"
[object Object],State School,,,
,,,,
911 (tie),Florida Gulf Coast University,State School,"$42,700.00","$57,100.00"
[object Object],State School,,,
,,,,
913,Morningside College,"Private School, Religious","$39,100.00","$57,000.00"
[object Object],"Private School, Religious",,,
,,,,
914,Delta State University,State School,"$39,600.00","$56,800.00"
[object Object],State School,,,
,,,,
915,Gardner-Webb University,"Private School, Religious, For Sports Fans","$38,200.00","$56,700.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
916,SUNY - Fredonia,State School,"$39,100.00","$56,600.00"
[object Object],State School,,,
,,,,
917,University of Sioux Falls (USF),"Private School, Religious","$42,600.00","$56,500.00"
[object Object],"Private School, Religious",,,
,,,,
918 (tie),Faulkner University,"Private School, Business School, Religious","$39,100.00","$56,400.00"
[object Object],"Private School, Business School, Religious",,,
,,,,
918 (tie),University of Maine at Augusta (UMA),State School,"$36,900.00","$56,400.00"
[object Object],State School,,,
,,,,
920 (tie),Davenport University,"Private School, Business School","$43,000.00","$56,200.00"
[object Object],"Private School, Business School",,,
,,,,
920 (tie),Norfolk State University,"State School, For Sports Fans","$41,900.00","$56,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
922,"Wayne State College - Wayne, NE",State School,"$40,300.00","$55,900.00"
[object Object],State School,,,
,,,,
923 (tie),Limestone College,Private School,"$37,300.00","$55,800.00"
[object Object],Private School,,,
,,,,
923 (tie),Northern State University,State School,"$39,500.00","$55,800.00"
[object Object],State School,,,
,,,,
925,Transylvania University,"Private School, Liberal Arts School, Religious","$39,500.00","$55,700.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
926 (tie),Johnson State College,State School,"$33,400.00","$55,500.00"
[object Object],State School,,,
,,,,
926 (tie),Nazareth College of Rochester,Private School,"$38,000.00","$55,500.00"
[object Object],Private School,,,
,,,,
926 (tie),Ohio Dominican University,"Private School, Religious","$42,200.00","$55,500.00"
[object Object],"Private School, Religious",,,
,,,,
929 (tie),Averett University,"Private School, Religious","$41,300.00","$55,400.00"
[object Object],"Private School, Religious",,,
,,,,
929 (tie),Jackson State University (JSU),"State School, Research University, For Sports Fans","$40,000.00","$55,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
929 (tie),"King College - Bristol, TN","Private School, Religious","$35,300.00","$55,400.00"
[object Object],"Private School, Religious",,,
,,,,
932 (tie),Columbus College of Art And Design,"Private School, Arts, Music & Design School","$41,000.00","$55,300.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
932 (tie),Palm Beach Atlantic University (PBAU),"Private School, Religious","$39,700.00","$55,300.00"
[object Object],"Private School, Religious",,,
,,,,
934,University of Montevallo,State School,"$33,300.00","$55,200.00"
[object Object],State School,,,
,,,,
935,Fontbonne University,"Private School, Religious","$39,700.00","$55,000.00"
[object Object],"Private School, Religious",,,
,,,,
936 (tie),"Anderson University - Anderson, IN","Private School, Religious","$40,100.00","$54,900.00"
[object Object],"Private School, Religious",,,
,,,,
936 (tie),Fresno Pacific University,"Private School, Religious","$42,300.00","$54,900.00"
[object Object],"Private School, Religious",,,
,,,,
936 (tie),University of Maine at Farmington (UMF),State School,"$39,900.00","$54,900.00"
[object Object],State School,,,
,,,,
939,La Roche College,"Private School, Religious","$39,400.00","$54,800.00"
[object Object],"Private School, Religious",,,
,,,,
940,Edinboro University of Pennsylvania,State School,"$39,200.00","$54,500.00"
[object Object],State School,,,
,,,,
941 (tie),Grambling State University,"State School, For Sports Fans","$40,700.00","$54,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
941 (tie),North Carolina Central University,"State School, For Sports Fans","$36,500.00","$54,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
941 (tie),"Springfield College - Springfield, MA",Private School,"$35,200.00","$54,300.00"
[object Object],Private School,,,
,,,,
941 (tie),Tusculum College,"Private School, Religious","$36,000.00","$54,300.00"
[object Object],"Private School, Religious",,,
,,,,
945 (tie),Lesley University,Private School,"$41,000.00","$54,100.00"
[object Object],Private School,,,
,,,,
945 (tie),Mercyhurst College,"Private School, Religious","$39,500.00","$54,100.00"
[object Object],"Private School, Religious",,,
,,,,
947,Chestnut Hill College,"Private School, Religious","$35,100.00","$53,800.00"
[object Object],"Private School, Religious",,,
,,,,
948,"Bethel College - Mishawaka, IN","Private School, Religious","$38,900.00","$53,700.00"
[object Object],"Private School, Religious",,,
,,,,
949,"Keiser University - Ft. Lauderdale, FL",Private School,"$43,800.00","$53,200.00"
[object Object],Private School,,,
,,,,
950 (tie),Drury University,Private School,"$38,900.00","$53,000.00"
[object Object],Private School,,,
,,,,
950 (tie),Indiana University (IU) - New Albany,State School,"$37,400.00","$53,000.00"
[object Object],State School,,,
,,,,
952,"Baker College - Muskegon, MI",Private School,"$39,200.00","$52,800.00"
[object Object],Private School,,,
,,,,
953,University of Texas (UT) at Brownsville,State School,"$39,700.00","$52,500.00"
[object Object],State School,,,
,,,,
954,Endicott College,Private School,"$45,100.00","$52,000.00"
[object Object],Private School,,,
,,,,
955,"Culinary Institute of America (CIA) - Hyde Park, NY","Private School, Business School","$36,500.00","$51,900.00"
[object Object],"Private School, Business School",,,
,,,,
956,Cornerstone University,"Private School, Religious","$37,900.00","$51,200.00"
[object Object],"Private School, Religious",,,
,,,,
957 (tie),Briar Cliff University,"Private School, Religious","$38,800.00","$50,600.00"
[object Object],"Private School, Religious",,,
,,,,
957 (tie),Mississippi University for Women,State School,"$40,000.00","$50,600.00"
[object Object],State School,,,
,,,,
959,Medaille College,Private School,"$34,900.00","$50,400.00"
[object Object],Private School,,,
,,,,
960,Miami Dade College (MDC),State School,"$40,400.00","$49,000.00"
[object Object],State School,,,
,,,,
961,Lyndon State College,State School,"$37,900.00","$48,500.00"
[object Object],State School,,,
,,,,
962,"Bethel University - McKenzie, TN","Private School, Religious","$35,500.00","$46,600.00"
[object Object],"Private School, Religious",,,
,,,,
963,Shaw University,"Private School, Religious","$36,200.00","$45,600.00"
[object Object],Shaw University,"Private School, Religious","$36,200.00","$45,600.00"
,"Private School, Religious",,,
